dataset_id,dataset_title,method_key,method,stage_dir,n,value
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,0,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,1,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,2,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,3,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,4,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,5,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,6,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,7,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,8,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,9,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,10,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,12,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,14,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,16,0.8115347546295534
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,0,0.8115347546295534
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,1,0.839124081332858
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,2,0.8517581301004032
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,3,0.8620173953805026
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,4,0.8698951373983407
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,5,0.8715671131886409
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,6,0.8739926456292408
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,7,0.8736514254623149
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,8,0.8763518854704553
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,9,0.8766463806380447
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,10,0.8769886734040153
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,11,0.8778992575154917
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,12,0.8782045092133911
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,13,0.8786812965194196
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,14,0.8794492811370208
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,15,0.8799082427428494
hhar,HHAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/hhar/map_euclidean,16,0.8797485265785724
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,0,0.8115347546295534
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,1,0.7850236838108011
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,2,0.844751429210227
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,3,0.8624463091490482
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,4,0.8711615873570328
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,5,0.8766874718413777
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,6,0.8804646952567597
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,7,0.8818048850177799
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,8,0.8846472193761168
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,9,0.8844900917614995
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,10,0.8860398781351643
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,11,0.8862301198338837
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,12,0.8849406820062892
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,13,0.88692629885359
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,14,0.8874538767715632
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,15,0.8869521289985846
hhar,HHAR,support,"ProtoNet
(baseline)",artifacts/datasets/hhar/protonet_euclidean,16,0.887897243286225
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,0,0.8115347546295534
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,1,0.7788623250773878
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,2,0.8524704927210563
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,3,0.880750629495677
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,4,0.8970485993460087
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,5,0.904718064537144
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,6,0.913646212812393
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,7,0.9173691038057804
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,8,0.9222263655524598
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,9,0.9261055993547748
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,10,0.9288972819450076
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,11,0.931666508139913
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,12,0.9348265245270712
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,13,0.9352911736347862
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,14,0.9394395437177496
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,15,0.9401438804641707
hhar,HHAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/hhar/logistic_ce_backbone_C_1,16,0.9415982334476634
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,0,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,1,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,2,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,3,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,4,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,5,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,6,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,7,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,8,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,9,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,10,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,12,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,14,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,16,0.8146870588410722
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,0,0.8146870588410722
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,1,0.8942782319573735
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,2,0.90961264690542
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,3,0.919041846298096
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,4,0.9240159848963342
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,5,0.92692885688107
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,6,0.93001572832691
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,7,0.931561567348162
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,8,0.9328821212555862
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,9,0.9336295524416188
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,10,0.9344494522659044
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,11,0.935471421032492
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,12,0.9359816442994564
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,13,0.9361758205198684
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,14,0.9365152523719876
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,15,0.9367432979869726
wear,WEAR,bayesian,"MAP Proto
(ours)",artifacts/datasets/wear/map_euclidean,16,0.937122969562448
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,0,0.8146870588410722
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,1,0.867039030038697
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,2,0.9093910973791736
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,3,0.9219209014711643
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,4,0.9278028218554772
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,5,0.930922637588041
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,6,0.9337933934107348
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,7,0.9349331381228264
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,8,0.9359916333702892
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,9,0.9366092245751192
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,10,0.937336408482614
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,11,0.9381207759132584
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,12,0.938409054937942
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,13,0.938479777677772
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,14,0.9387291128886648
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,15,0.9391242388406386
wear,WEAR,support,"ProtoNet
(baseline)",artifacts/datasets/wear/protonet_euclidean,16,0.9392173062598562
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,0,0.8146870588410722
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,1,0.8660523621976438
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,2,0.9143542944965932
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,3,0.9308711586050246
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,4,0.9397613289208774
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,5,0.9452097437008234
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,6,0.9493464439053642
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,7,0.9516476588645206
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,8,0.9544882386064156
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,9,0.956089484289518
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,10,0.9575473356004688
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,11,0.959083582376895
wear,WEAR,logistic,"Logistic Probe
(baseline)",artifacts/datasets/wear/logistic_ce_backbone_C_1,12,0.9597778780813748
