dataset_id,dataset_title,method_key,method,stage_dir,n,value
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,0,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,1,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,2,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,3,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,4,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,5,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,6,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,7,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,8,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,9,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,10,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,12,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,14,0.8115347546295534
hhar,HHAR,fixed,"Prior Proto
(ours)",artifacts/datasets/hhar/prior_euclidean,16,0.8115347546295534
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,0,0.8115347546295534
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,1,0.8094901371495434
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,2,0.8103099214188341
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,3,0.8115101866359316
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,4,0.816306916898557
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,5,0.8168350519614926
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,6,0.8179781810451247
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,7,0.8173144640498664
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,8,0.8174677271801829
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,9,0.8178015190169925
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,10,0.8178135172855217
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,11,0.8195164005699758
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,12,0.8195175054667118
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,13,0.819827573542299
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,14,0.8195080469201947
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,15,0.8180757227194863
hhar,HHAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/hhar/map_em_euclidean_centered,16,0.8193225811411509
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,0,0.8115347546295534
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,1,0.7758031640759255
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,2,0.7976740327074265
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,3,0.804797848474337
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,4,0.8106969994859676
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,5,0.8158442259345283
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,6,0.8150623378017198
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,7,0.8198814031338013
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,8,0.8204100765290786
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,9,0.8216392215055744
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,10,0.8234005666236759
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,11,0.8237101045868634
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,12,0.8250642854011798
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,13,0.8255362893032555
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,14,0.8250940870909671
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,15,0.8261238888112901
hhar,HHAR,oftta,"OFTTA
(baseline)",artifacts/datasets/hhar/oftta_ce_backbone_edtn_d0p3_cap32,16,0.8273258087498754
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,0,0.8115347546295534
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,1,0.6833851673213673
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,2,0.7686140403306044
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,3,0.7967976604468596
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,4,0.8108362823953141
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,5,0.8129322063781991
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,6,0.8164783618101288
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,7,0.8181646114459793
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,8,0.8198371294856585
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,9,0.8203920138180736
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,10,0.821280932279898
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,11,0.8223664886380749
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,12,0.8239397998832745
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,13,0.8230957596376529
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,14,0.8230443510540979
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,15,0.8234399289646257
hhar,HHAR,pda,"PDA
(baseline)",artifacts/datasets/hhar/pda_ce_backbone_cosine_l2norm_classifier_confidence_weighted,16,0.8252905090893753
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,0,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,1,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,2,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,3,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,4,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,5,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,6,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,7,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,8,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,9,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,10,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,12,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,14,0.8146870588410722
wear,WEAR,fixed,"Prior Proto
(ours)",artifacts/datasets/wear/prior_euclidean,16,0.8146870588410722
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,0,0.8146870588410722
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,1,0.8379436135096806
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,2,0.8468889588969203
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,3,0.8521641966964357
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,4,0.8545034260575983
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,5,0.8571729678027618
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,6,0.858660054582392
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,7,0.8599154671530903
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,8,0.8609236889982594
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,9,0.8615637903172478
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,10,0.8621529313824777
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,11,0.8625309484190117
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,12,0.8637477219153066
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,13,0.8637340842085971
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,14,0.8638530435323006
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,15,0.86423089463945
wear,WEAR,map_em_centered,"MAP-EM Proto
(ours)",artifacts/datasets/wear/map_em_euclidean_centered,16,0.8646363986307173
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,0,0.8146870588410722
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,1,0.8030978678791421
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,2,0.8181565858635178
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,3,0.8259353172566483
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,4,0.8302120903466258
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,5,0.833678342846062
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,6,0.8354192305703361
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,7,0.837246221811399
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,8,0.838400279022174
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,9,0.8389890492262815
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,10,0.8396110877205748
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,11,0.8406882407313132
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,12,0.8410739356037217
wear,WEAR,oftta,"OFTTA
(baseline)",artifacts/datasets/wear/oftta_ce_backbone_edtn_d0p3_cap32,13,0.8414977815981589
