dataset,method,macro_f1,fold_std,meta
hapt,Original Classifier,0.712,0.143,baseline
hapt,Prior Proto,0.734,0.133,fixed:n=16:source22
hapt,MAP-EM Proto (16-Shot),0.963,0.089,map_em_centered:n=16:source22
hapt,MAP Proto (16-Shot),0.978,0.089,bayesian:n=16:source22
harth,Original Classifier,0.614,0.125,baseline
harth,Prior Proto,0.603,0.132,fixed:n=16:source22
harth,MAP-EM Proto (16-Shot),0.928,0.081,map_em_centered:n=16:source22
harth,MAP Proto (16-Shot),0.94,0.081,bayesian:n=16:source22
hhar,Original Classifier,0.816,0.092,baseline
hhar,Prior Proto,0.812,0.085,fixed:n=16:source22
hhar,MAP-EM Proto (16-Shot),0.821,0.078,map_em_centered:n=16:source22
hhar,MAP Proto (16-Shot),0.88,0.078,bayesian:n=16:source22
wear,Original Classifier,0.819,0.147,baseline
wear,Prior Proto,0.812,0.148,fixed:n=16:source22
wear,MAP-EM Proto (16-Shot),0.859,0.099,map_em_centered:n=16:source22
wear,MAP Proto (16-Shot),0.936,0.099,bayesian:n=16:source22
