dataset_id,fold_id,subject_id,class_id,class_name,num_windows,max_supported_k
hhar,loso_subject_0,0,0,Bike,203,202
hhar,loso_subject_0,0,1,Sit,355,354
hhar,loso_subject_0,0,2,Stand,311,310
hhar,loso_subject_0,0,3,Walk,272,271
hhar,loso_subject_0,0,4,Stairsup,231,230
hhar,loso_subject_0,0,5,Stairsdown,197,196
hhar,loso_subject_1,1,0,Bike,322,321
hhar,loso_subject_1,1,1,Sit,249,248
hhar,loso_subject_1,1,2,Stand,221,220
hhar,loso_subject_1,1,3,Walk,361,360
hhar,loso_subject_1,1,4,Stairsup,259,258
hhar,loso_subject_1,1,5,Stairsdown,203,202
hhar,loso_subject_2,2,0,Bike,134,133
hhar,loso_subject_2,2,1,Sit,305,304
hhar,loso_subject_2,2,2,Stand,213,212
hhar,loso_subject_2,2,3,Walk,321,320
hhar,loso_subject_2,2,4,Stairsup,260,259
hhar,loso_subject_2,2,5,Stairsdown,178,177
hhar,loso_subject_3,3,0,Bike,186,185
hhar,loso_subject_3,3,1,Sit,306,305
hhar,loso_subject_3,3,2,Stand,299,298
hhar,loso_subject_3,3,3,Walk,353,352
hhar,loso_subject_3,3,4,Stairsup,262,261
hhar,loso_subject_3,3,5,Stairsdown,157,156
hhar,loso_subject_4,4,0,Bike,283,282
hhar,loso_subject_4,4,1,Sit,325,324
hhar,loso_subject_4,4,2,Stand,305,304
hhar,loso_subject_4,4,3,Walk,356,355
hhar,loso_subject_4,4,4,Stairsup,209,208
hhar,loso_subject_4,4,5,Stairsdown,183,182
hhar,loso_subject_5,5,0,Bike,208,207
hhar,loso_subject_5,5,1,Sit,242,241
hhar,loso_subject_5,5,2,Stand,232,231
hhar,loso_subject_5,5,3,Walk,270,269
hhar,loso_subject_5,5,4,Stairsup,261,260
hhar,loso_subject_5,5,5,Stairsdown,177,176
hhar,loso_subject_6,6,0,Bike,132,131
hhar,loso_subject_6,6,1,Sit,263,262
hhar,loso_subject_6,6,2,Stand,215,214
hhar,loso_subject_6,6,3,Walk,296,295
hhar,loso_subject_6,6,4,Stairsup,172,171
hhar,loso_subject_6,6,5,Stairsdown,166,165
hhar,loso_subject_7,7,0,Bike,177,176
hhar,loso_subject_7,7,1,Sit,302,301
hhar,loso_subject_7,7,2,Stand,150,149
hhar,loso_subject_7,7,3,Walk,274,273
hhar,loso_subject_7,7,4,Stairsup,224,223
hhar,loso_subject_7,7,5,Stairsdown,199,198
hhar,loso_subject_8,8,0,Bike,211,210
hhar,loso_subject_8,8,1,Sit,285,284
hhar,loso_subject_8,8,2,Stand,218,217
hhar,loso_subject_8,8,3,Walk,300,299
hhar,loso_subject_8,8,4,Stairsup,163,162
hhar,loso_subject_8,8,5,Stairsdown,149,148
wear,loso_subject_0,0,0,Bench Dips,53,52
wear,loso_subject_0,0,1,Burpees,56,55
wear,loso_subject_0,0,2,Jogging,109,108
wear,loso_subject_0,0,3,Jogging Butt Kicks,60,59
wear,loso_subject_0,0,4,Jogging Rotating Arms,67,66
wear,loso_subject_0,0,5,Jogging Sidesteps,78,77
wear,loso_subject_0,0,6,Jogging Skipping,65,64
wear,loso_subject_0,0,7,Lunges,86,85
wear,loso_subject_0,0,8,Lunges Complex,91,90
