dataset_id,fold_id,subject_id,k,valid,num_present_classes,required_windows_per_class,insufficient_classes
hhar,loso_subject_0,0,0,True,6,1,{}
hhar,loso_subject_0,0,1,True,6,2,{}
hhar,loso_subject_0,0,2,True,6,3,{}
hhar,loso_subject_0,0,3,True,6,4,{}
hhar,loso_subject_0,0,4,True,6,5,{}
hhar,loso_subject_0,0,5,True,6,6,{}
hhar,loso_subject_0,0,6,True,6,7,{}
hhar,loso_subject_0,0,7,True,6,8,{}
hhar,loso_subject_0,0,8,True,6,9,{}
hhar,loso_subject_0,0,9,True,6,10,{}
hhar,loso_subject_0,0,10,True,6,11,{}
hhar,loso_subject_0,0,11,True,6,12,{}
hhar,loso_subject_0,0,12,True,6,13,{}
hhar,loso_subject_0,0,13,True,6,14,{}
hhar,loso_subject_0,0,14,True,6,15,{}
hhar,loso_subject_0,0,15,True,6,16,{}
hhar,loso_subject_0,0,16,True,6,17,{}
hhar,loso_subject_1,1,0,True,6,1,{}
hhar,loso_subject_1,1,1,True,6,2,{}
hhar,loso_subject_1,1,2,True,6,3,{}
hhar,loso_subject_1,1,3,True,6,4,{}
hhar,loso_subject_1,1,4,True,6,5,{}
hhar,loso_subject_1,1,5,True,6,6,{}
hhar,loso_subject_1,1,6,True,6,7,{}
hhar,loso_subject_1,1,7,True,6,8,{}
hhar,loso_subject_1,1,8,True,6,9,{}
hhar,loso_subject_1,1,9,True,6,10,{}
hhar,loso_subject_1,1,10,True,6,11,{}
hhar,loso_subject_1,1,11,True,6,12,{}
hhar,loso_subject_1,1,12,True,6,13,{}
hhar,loso_subject_1,1,13,True,6,14,{}
hhar,loso_subject_1,1,14,True,6,15,{}
hhar,loso_subject_1,1,15,True,6,16,{}
hhar,loso_subject_1,1,16,True,6,17,{}
hhar,loso_subject_2,2,0,True,6,1,{}
hhar,loso_subject_2,2,1,True,6,2,{}
hhar,loso_subject_2,2,2,True,6,3,{}
hhar,loso_subject_2,2,3,True,6,4,{}
hhar,loso_subject_2,2,4,True,6,5,{}
hhar,loso_subject_2,2,5,True,6,6,{}
hhar,loso_subject_2,2,6,True,6,7,{}
hhar,loso_subject_2,2,7,True,6,8,{}
hhar,loso_subject_2,2,8,True,6,9,{}
hhar,loso_subject_2,2,9,True,6,10,{}
hhar,loso_subject_2,2,10,True,6,11,{}
hhar,loso_subject_2,2,11,True,6,12,{}
hhar,loso_subject_2,2,12,True,6,13,{}
hhar,loso_subject_2,2,13,True,6,14,{}
hhar,loso_subject_2,2,14,True,6,15,{}
hhar,loso_subject_2,2,15,True,6,16,{}
hhar,loso_subject_2,2,16,True,6,17,{}
hhar,loso_subject_3,3,0,True,6,1,{}
hhar,loso_subject_3,3,1,True,6,2,{}
hhar,loso_subject_3,3,2,True,6,3,{}
hhar,loso_subject_3,3,3,True,6,4,{}
hhar,loso_subject_3,3,4,True,6,5,{}
hhar,loso_subject_3,3,5,True,6,6,{}
hhar,loso_subject_3,3,6,True,6,7,{}
hhar,loso_subject_3,3,7,True,6,8,{}
hhar,loso_subject_3,3,8,True,6,9,{}
hhar,loso_subject_3,3,9,True,6,10,{}
hhar,loso_subject_3,3,10,True,6,11,{}
hhar,loso_subject_3,3,11,True,6,12,{}
hhar,loso_subject_3,3,12,True,6,13,{}
hhar,loso_subject_3,3,13,True,6,14,{}
hhar,loso_subject_3,3,14,True,6,15,{}
hhar,loso_subject_3,3,15,True,6,16,{}
hhar,loso_subject_3,3,16,True,6,17,{}
hhar,loso_subject_4,4,0,True,6,1,{}
hhar,loso_subject_4,4,1,True,6,2,{}
hhar,loso_subject_4,4,2,True,6,3,{}
hhar,loso_subject_4,4,3,True,6,4,{}
hhar,loso_subject_4,4,4,True,6,5,{}
hhar,loso_subject_4,4,5,True,6,6,{}
hhar,loso_subject_4,4,6,True,6,7,{}
hhar,loso_subject_4,4,7,True,6,8,{}
hhar,loso_subject_4,4,8,True,6,9,{}
hhar,loso_subject_4,4,9,True,6,10,{}
hhar,loso_subject_4,4,10,True,6,11,{}
hhar,loso_subject_4,4,11,True,6,12,{}
hhar,loso_subject_4,4,12,True,6,13,{}
hhar,loso_subject_4,4,13,True,6,14,{}
hhar,loso_subject_4,4,14,True,6,15,{}
hhar,loso_subject_4,4,15,True,6,16,{}
hhar,loso_subject_4,4,16,True,6,17,{}
hhar,loso_subject_5,5,0,True,6,1,{}
hhar,loso_subject_5,5,1,True,6,2,{}
hhar,loso_subject_5,5,2,True,6,3,{}
hhar,loso_subject_5,5,3,True,6,4,{}
hhar,loso_subject_5,5,4,True,6,5,{}
hhar,loso_subject_5,5,5,True,6,6,{}
hhar,loso_subject_5,5,6,True,6,7,{}
hhar,loso_subject_5,5,7,True,6,8,{}
hhar,loso_subject_5,5,8,True,6,9,{}
hhar,loso_subject_5,5,9,True,6,10,{}
hhar,loso_subject_5,5,10,True,6,11,{}
hhar,loso_subject_5,5,11,True,6,12,{}
hhar,loso_subject_5,5,12,True,6,13,{}
hhar,loso_subject_5,5,13,True,6,14,{}
hhar,loso_subject_5,5,14,True,6,15,{}
hhar,loso_subject_5,5,15,True,6,16,{}
hhar,loso_subject_5,5,16,True,6,17,{}
hhar,loso_subject_6,6,0,True,6,1,{}
hhar,loso_subject_6,6,1,True,6,2,{}
hhar,loso_subject_6,6,2,True,6,3,{}
hhar,loso_subject_6,6,3,True,6,4,{}
hhar,loso_subject_6,6,4,True,6,5,{}
hhar,loso_subject_6,6,5,True,6,6,{}
hhar,loso_subject_6,6,6,True,6,7,{}
hhar,loso_subject_6,6,7,True,6,8,{}
hhar,loso_subject_6,6,8,True,6,9,{}
hhar,loso_subject_6,6,9,True,6,10,{}
hhar,loso_subject_6,6,10,True,6,11,{}
hhar,loso_subject_6,6,11,True,6,12,{}
hhar,loso_subject_6,6,12,True,6,13,{}
hhar,loso_subject_6,6,13,True,6,14,{}
hhar,loso_subject_6,6,14,True,6,15,{}
hhar,loso_subject_6,6,15,True,6,16,{}
hhar,loso_subject_6,6,16,True,6,17,{}
hhar,loso_subject_7,7,0,True,6,1,{}
hhar,loso_subject_7,7,1,True,6,2,{}
hhar,loso_subject_7,7,2,True,6,3,{}
hhar,loso_subject_7,7,3,True,6,4,{}
hhar,loso_subject_7,7,4,True,6,5,{}
hhar,loso_subject_7,7,5,True,6,6,{}
hhar,loso_subject_7,7,6,True,6,7,{}
hhar,loso_subject_7,7,7,True,6,8,{}
hhar,loso_subject_7,7,8,True,6,9,{}
hhar,loso_subject_7,7,9,True,6,10,{}
hhar,loso_subject_7,7,10,True,6,11,{}
hhar,loso_subject_7,7,11,True,6,12,{}
hhar,loso_subject_7,7,12,True,6,13,{}
hhar,loso_subject_7,7,13,True,6,14,{}
hhar,loso_subject_7,7,14,True,6,15,{}
hhar,loso_subject_7,7,15,True,6,16,{}
hhar,loso_subject_7,7,16,True,6,17,{}
hhar,loso_subject_8,8,0,True,6,1,{}
hhar,loso_subject_8,8,1,True,6,2,{}
hhar,loso_subject_8,8,2,True,6,3,{}
hhar,loso_subject_8,8,3,True,6,4,{}
hhar,loso_subject_8,8,4,True,6,5,{}
hhar,loso_subject_8,8,5,True,6,6,{}
hhar,loso_subject_8,8,6,True,6,7,{}
hhar,loso_subject_8,8,7,True,6,8,{}
hhar,loso_subject_8,8,8,True,6,9,{}
hhar,loso_subject_8,8,9,True,6,10,{}
hhar,loso_subject_8,8,10,True,6,11,{}
hhar,loso_subject_8,8,11,True,6,12,{}
hhar,loso_subject_8,8,12,True,6,13,{}
hhar,loso_subject_8,8,13,True,6,14,{}
hhar,loso_subject_8,8,14,True,6,15,{}
hhar,loso_subject_8,8,15,True,6,16,{}
hhar,loso_subject_8,8,16,True,6,17,{}
