dataset_id,fold_id,subject_id,num_present_classes,min_class_windows,max_supported_k,limiting_classes,valid_requested_shots,invalid_requested_shots
hhar,loso_subject_0,0,6,197,196,"{""5"": {""name"": ""Stairsdown"", ""windows"": 197}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
hhar,loso_subject_1,1,6,203,202,"{""5"": {""name"": ""Stairsdown"", ""windows"": 203}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
hhar,loso_subject_2,2,6,134,133,"{""0"": {""name"": ""Bike"", ""windows"": 134}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
hhar,loso_subject_3,3,6,157,156,"{""5"": {""name"": ""Stairsdown"", ""windows"": 157}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
hhar,loso_subject_4,4,6,183,182,"{""5"": {""name"": ""Stairsdown"", ""windows"": 183}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
hhar,loso_subject_5,5,6,177,176,"{""5"": {""name"": ""Stairsdown"", ""windows"": 177}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
hhar,loso_subject_6,6,6,132,131,"{""0"": {""name"": ""Bike"", ""windows"": 132}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
hhar,loso_subject_7,7,6,150,149,"{""2"": {""name"": ""Stand"", ""windows"": 150}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
hhar,loso_subject_8,8,6,149,148,"{""5"": {""name"": ""Stairsdown"", ""windows"": 149}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_0,0,18,38,37,"{""12"": {""name"": ""Sit Ups Complex"", ""windows"": 38}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_1,1,18,31,30,"{""14"": {""name"": ""Stretching Lumbar Rotation"", ""windows"": 31}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_2,2,17,42,41,"{""9"": {""name"": ""Push Ups"", ""windows"": 42}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_3,3,18,41,40,"{""13"": {""name"": ""Stretching Hamstrings"", ""windows"": 41}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_4,4,18,32,31,"{""17"": {""name"": ""Stretching Triceps"", ""windows"": 32}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_5,5,18,25,24,"{""3"": {""name"": ""Jogging Butt Kicks"", ""windows"": 25}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_6,6,18,43,42,"{""0"": {""name"": ""Bench Dips"", ""windows"": 43}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_7,7,18,39,38,"{""0"": {""name"": ""Bench Dips"", ""windows"": 39}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_8,8,18,44,43,"{""17"": {""name"": ""Stretching Triceps"", ""windows"": 44}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_9,9,18,44,43,"{""10"": {""name"": ""Push Ups Complex"", ""windows"": 44}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_10,10,12,15,14,"{""1"": {""name"": ""Burpees"", ""windows"": 15}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14","15,16"
wear,loso_subject_11,11,18,38,37,"{""6"": {""name"": ""Jogging Skipping"", ""windows"": 38}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_12,12,18,40,39,"{""4"": {""name"": ""Jogging Rotating Arms"", ""windows"": 40}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_13,13,18,42,41,"{""9"": {""name"": ""Push Ups"", ""windows"": 42}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_14,14,18,41,40,"{""3"": {""name"": ""Jogging Butt Kicks"", ""windows"": 41}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_15,15,18,41,40,"{""6"": {""name"": ""Jogging Skipping"", ""windows"": 41}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_16,16,18,41,40,"{""9"": {""name"": ""Push Ups"", ""windows"": 41}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_17,17,18,45,44,"{""11"": {""name"": ""Sit Ups"", ""windows"": 45}, ""17"": {""name"": ""Stretching Triceps"", ""windows"": 45}, ""3"": {""name"": ""Jogging Butt Kicks"", ""windows"": 45}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_18,18,18,42,41,"{""10"": {""name"": ""Push Ups Complex"", ""windows"": 42}, ""15"": {""name"": ""Stretching Lunging"", ""windows"": 42}, ""9"": {""name"": ""Push Ups"", ""windows"": 42}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_19,19,18,39,38,"{""11"": {""name"": ""Sit Ups"", ""windows"": 39}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
wear,loso_subject_20,20,18,39,38,"{""3"": {""name"": ""Jogging Butt Kicks"", ""windows"": 39}, ""8"": {""name"": ""Lunges Complex"", ""windows"": 39}}","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",
